Experiment,SubjectID,Schedule,TestName,MPoint,SessionName,SessionID,LaunchTime,StartTime,ResultTime,GMTOffset,Exception,Remark,block,task,trial,dots,delta,mode,dir,response,key,rt
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,1,20,2,same,right,correct,right,2899
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,2,20,3,same,left,correct,left,1707
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,3,30,3,same,right,correct,right,1284
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,4,10,4,same,left,correct,left,1296
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,5,20,1,same,right,correct,right,6959
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,6,10,3,same,left,correct,left,1127
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,7,30,3,same,left,correct,left,2478
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,8,20,5,same,right,correct,right,1432
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,9,30,5,same,left,correct,left,1628
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,10,20,1,same,right,correct,right,2783
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,11,30,1,same,left,correct,left,4577
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,12,10,1,same,right,correct,right,1386
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,13,10,4,same,right,incorrect,left,1337
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,14,30,2,same,right,correct,right,4243
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,15,30,1,same,left,correct,left,3275
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,16,30,4,same,left,correct,left,2222
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,17,20,4,same,right,correct,right,2382
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,18,10,3,same,right,correct,right,2671
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,19,10,4,same,left,correct,left,1263
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,20,20,2,same,right,correct,right,2692
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,21,10,1,same,left,correct,left,2197
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,22,30,2,same,right,correct,right,4003
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,23,30,5,same,right,correct,right,3074
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,24,30,2,same,left,incorrect,right,3026
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,25,10,5,same,right,correct,right,1956
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,26,10,3,same,right,correct,right,1781
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,27,20,1,same,left,correct,left,3157
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,28,10,2,same,left,correct,left,1323
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,29,10,5,same,right,correct,right,1577
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,30,20,4,same,left,correct,left,1742
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,31,10,3,same,left,correct,left,1603
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,32,30,5,same,right,correct,right,1882
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,33,20,2,same,left,correct,left,2944
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,34,30,3,same,right,correct,right,5240
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,35,30,4,same,right,correct,right,1424
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,36,30,5,same,left,correct,left,2773
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,37,10,2,same,right,correct,right,2688
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,38,10,2,same,left,correct,left,1819
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,39,20,1,same,left,correct,left,4306
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,40,20,2,same,left,correct,left,3100
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,41,20,5,same,left,correct,left,3018
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,42,30,2,same,left,correct,left,5522
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,43,20,4,same,right,correct,right,2102
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,44,10,5,same,left,correct,left,1416
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,45,20,5,same,right,correct,right,2711
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,46,20,4,same,left,correct,left,1767
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,47,30,4,same,right,correct,right,3464
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,48,10,2,same,right,correct,right,4072
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,49,20,5,same,left,correct,left,1545
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,50,10,5,same,left,correct,left,2124
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,51,20,3,same,right,correct,right,2078
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,52,30,4,same,left,correct,left,3124
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,53,30,3,same,left,correct,left,1524
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,54,10,1,same,left,correct,left,4991
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,55,10,4,same,right,incorrect,left,1226
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,56,20,3,same,left,correct,left,2919
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,57,30,1,same,right,correct,right,5842
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,58,20,3,same,right,correct,right,2322
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,59,30,1,same,right,correct,right,8125
Lab 4 Spring 2022 Blue Lab 1A,_5583,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5583_20220224083337_16968,2/24/2022 8:21,2/24/2022 8:26,2/24/2022 8:33,5:00,,,1,rdots,60,10,1,same,right,correct,right,2872
