Experiment,SubjectID,Schedule,TestName,MPoint,SessionName,SessionID,LaunchTime,StartTime,ResultTime,GMTOffset,Exception,Remark,block,task,trial,dots,delta,mode,dir,response,key,rt
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,1,20,5,same,right,correct,right,901
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,2,20,4,same,left,incorrect,right,985
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,3,20,4,same,right,correct,right,792
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,4,30,2,same,left,correct,left,676
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,5,30,1,same,left,correct,left,702
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,6,30,5,same,left,correct,left,981
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,7,20,4,same,right,correct,right,591
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,8,10,5,same,right,correct,right,601
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,9,20,3,same,left,correct,left,586
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,10,30,4,same,left,incorrect,right,930
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,11,10,3,same,right,correct,right,575
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,12,30,2,same,right,correct,right,809
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,13,10,2,same,left,correct,left,667
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,14,20,1,same,left,correct,left,806
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,15,30,5,same,left,correct,left,662
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,16,20,2,same,right,correct,right,725
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,17,20,4,same,left,correct,left,727
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,18,30,4,same,left,incorrect,right,670
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,19,30,3,same,right,incorrect,left,641
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,20,30,1,same,right,correct,right,676
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,21,10,4,same,left,correct,left,537
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,22,30,5,same,right,incorrect,left,577
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,23,30,3,same,left,correct,left,568
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,24,30,3,same,right,correct,right,522
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,25,10,3,same,left,correct,left,510
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,26,20,5,same,left,correct,left,448
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,27,10,4,same,right,correct,right,464
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,28,30,2,same,right,incorrect,left,525
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,29,20,2,same,left,incorrect,right,519
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,30,10,1,same,right,correct,right,724
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,31,30,4,same,right,correct,right,638
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,32,10,4,same,left,correct,left,581
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,33,10,4,same,right,correct,right,617
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,34,30,1,same,left,correct,left,696
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,35,20,3,same,right,correct,right,520
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,36,20,1,same,right,correct,right,537
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,37,30,3,same,left,correct,left,531
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,38,20,2,same,right,correct,right,501
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,39,10,5,same,left,correct,left,511
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,40,10,3,same,left,correct,left,515
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,41,30,1,same,right,correct,right,597
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,42,10,1,same,left,correct,left,801
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,43,10,2,same,right,correct,right,675
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,44,10,2,same,right,correct,right,570
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,45,20,3,same,right,correct,right,633
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,46,30,5,same,right,correct,right,619
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,47,20,5,same,right,incorrect,left,608
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,48,10,5,same,right,correct,right,498
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,49,20,2,same,left,correct,left,614
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,50,10,3,same,right,correct,right,493
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,51,30,2,same,left,incorrect,right,688
Lab 4 Spring 2022 Blue Lab 1A,_5584,Schedule 1,Lab 4 Spring 2022 Blue Lab 1A Random Dots,1,Random Dots,_5584_20220224083126_16969,2022-02-24 08:19:39,2022-02-24 08:26:57,2022-02-24 08:31:26,5:00,,,1,rdots,52,20,3,same,left,correct,left,587
