Experiment,SubjectID,Schedule,TestName,MPoint,SessionName,SessionID,LaunchTime,StartTime,ResultTime,GMTOffset,Exception,Remark,block,task,trial,symbol,image,angle,response,key,rt
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,1,4,mirrored,60,late,NA,0
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,2,2,regular,240,correct,regular,234
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,3,4,mirrored,180,incorrect,regular,1905
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,4,F,regular,300,correct,regular,1569
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,5,R,regular,0,correct,regular,959
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,6,2,regular,120,correct,regular,815
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,7,F,regular,240,incorrect,mirrored,837
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,8,2,regular,180,incorrect,mirrored,1513
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,9,F,mirrored,180,correct,mirrored,1501
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,10,R,mirrored,300,correct,mirrored,1020
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,11,2,mirrored,240,incorrect,regular,1857
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,12,4,regular,180,incorrect,mirrored,1496
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,13,F,mirrored,120,correct,mirrored,2169
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,14,R,regular,120,correct,regular,1768
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,15,2,mirrored,0,correct,mirrored,919
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,16,2,regular,0,correct,regular,1882
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,17,F,regular,0,incorrect,mirrored,962
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,18,4,mirrored,0,late,NA,0
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,19,R,regular,300,correct,regular,1304
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,20,R,regular,180,correct,regular,1494
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,21,F,mirrored,300,correct,mirrored,1060
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,22,2,mirrored,300,incorrect,regular,977
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,23,R,mirrored,180,correct,mirrored,1507
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,24,R,regular,240,correct,regular,1154
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,25,2,regular,300,incorrect,mirrored,934
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,26,4,mirrored,300,correct,mirrored,1353
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,27,R,mirrored,120,incorrect,regular,1748
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,28,F,regular,120,incorrect,mirrored,1455
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,29,F,regular,60,correct,regular,1251
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,30,4,mirrored,120,incorrect,regular,1254
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,31,R,mirrored,0,correct,mirrored,1114
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,32,4,regular,120,correct,regular,1784
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,33,4,mirrored,240,incorrect,regular,1273
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,34,F,mirrored,0,correct,mirrored,1053
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,35,F,regular,180,correct,regular,1257
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,36,2,mirrored,180,correct,mirrored,1713
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,37,R,regular,60,correct,regular,980
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,38,2,regular,60,correct,regular,1807
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,39,2,mirrored,120,incorrect,regular,1460
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,40,2,mirrored,60,correct,mirrored,1394
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5583,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5583_20220224092157_17027,2/24/2022 9:08,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,41,4,regular,300,correct,regular,1585
