Experiment,SubjectID,Schedule,TestName,MPoint,SessionName,SessionID,LaunchTime,StartTime,ResultTime,GMTOffset,Exception,Remark,block,task,trial,symbol,image,angle,response,key,rt
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,1,R,mirrored,240,correct,mirrored,2434.2
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,2,2,regular,120,incorrect,mirrored,1353.3
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,3,2,regular,180,correct,regular,2340.7
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,4,F,mirrored,60,correct,mirrored,1137.5
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,5,2,mirrored,60,incorrect,regular,1590.4
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,6,F,regular,300,correct,regular,1479.2
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,7,4,regular,0,correct,regular,919.2
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,8,F,regular,240,correct,regular,1003.6
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,9,F,regular,0,correct,regular,745.6
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,10,F,regular,120,correct,regular,926.5
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,11,2,regular,240,correct,regular,877.7
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,12,F,mirrored,240,correct,mirrored,910.1
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,13,F,mirrored,300,correct,mirrored,1704.6
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,14,2,regular,0,correct,regular,709.2
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,15,R,regular,240,correct,regular,1348.7
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,16,4,regular,60,correct,regular,684.1
Lab 4 Spring 2022 Blue Lab 1A Mental Rotation,_5584,Schedule 1, Mental Rotation,1,Lab 4 Spring 2022 Blue Lab 1A,_5584_20220224092145_17028,2/24/2022 9:11,2/24/2022 9:18,2/24/2022 9:21,5:00,,,1,mrotat,17,4,regular,300,correct,regular,611.7
